Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,sample_storage_temperature,Scientific_Name,SRA Study
ERR16898322,WGS,302,8570349280,PRJEB98467,ERS28557204,Human-gut,2729031194,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283669,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T02:28:00Z,1,8f6a1f70aaec944fd8c02226,-80,human metagenome,ERP180859
ERR16898310,WGS,302,8709178680,PRJEB98467,ERS28557181,Human-gut,2878100572,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283657,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T03:12:00Z,1,615016de0d9b2e97beef9443,-80,human metagenome,ERP180859
ERR16898318,WGS,302,5606986058,PRJEB98467,ERS28557197,Human-gut,1797650106,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,"fastq,run.zq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283665,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T03:02:00Z,1,1da4777ab4083478bd7c9ca2,-80,human metagenome,ERP180859
ERR16898331,WGS,302,9067019990,PRJEB98467,ERS28557216,Human-gut,2838640709,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283678,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T03:19:00Z,1,f881e7c352d7a24aa5ff4504,-80,human metagenome,ERP180859
ERR16898320,WGS,302,9246645966,PRJEB98467,ERS28557201,Human-gut,2932876530,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283667,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T03:19:00Z,1,b989f95d445518d53a0314d4,-80,human metagenome,ERP180859
ERR16898325,WGS,302,10555731104,PRJEB98467,ERS28557210,Human-gut,3348581174,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283672,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T03:22:00Z,1,ac38191a6a7fc3c1bb7485fe,-80,human metagenome,ERP180859
ERR16898326,WGS,302,28383800086,PRJEB98467,ERS28557211,Human-gut,9111465354,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,"fastq,run.zq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283673,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T05:11:00Z,1,e8ab4ba94a5fbd7f5750938c,-80,human metagenome,ERP180859
ERR16898346,WGS,302,11441128966,PRJEB98467,ERS28557232,Human-gut,3704176265,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283693,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T03:21:00Z,1,e5d0b48b54eb12c2101f1c30,-80,human metagenome,ERP180859
ERR16898348,WGS,302,8208895144,PRJEB98467,ERS28557235,Human-gut,2715185400,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283695,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T03:11:00Z,1,26bd2f4759aba25177ef0451,-80,human metagenome,ERP180859
ERR16898350,WGS,302,14413462796,PRJEB98467,ERS28557237,Human-gut,4733339484,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23,2026-03-23,4,4,Feces,ERX16283697,United Kingdom,Europe,United Kingdom,51.5,-0.12,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-24T00:00:00Z,2026-03-24T03:31:00Z,1,2ff469e33ebbbb18caa91fa1,-80,human metagenome,ERP180859
